surface_m2,pieces,age_annees,revenu_median,distance_centre_km,prix
116.2,5.0,47,3.25,6.5,4.932
84.5,5.0,30,1.946,10.1,2.892
103.6,5.0,12,2.548,1.12,5.527
88.9,4.0,38,5.863,11.71,5.766
108.5,5.0,79,1.449,0.11,4.113
90.0,4.0,64,2.397,0.03,4.157
100.9,5.0,67,1.532,2.22,3.752
130.9,6.0,66,2.912,1.04,5.522
128.0,7.0,82,4.357,2.86,5.744
168.0,9.0,20,2.934,17.4,5.867
119.0,6.0,64,2.579,26.5,4.251
105.8,4.0,6,4.942,1.54,5.749
177.0,7.0,22,3.154,6.28,7.121
97.5,4.0,2,3.931,10.64,4.242
48.7,2.0,38,3.75,1.17,3.232
136.7,5.0,12,0.745,2.96,4.284
114.3,6.0,34,2.626,6.61,4.526
104.2,6.0,12,1.673,0.2,4.119
138.0,7.0,3,1.872,5.18,5.951
90.3,4.0,42,5.278,1.3,4.739
49.4,2.0,36,2.296,4.28,1.941
138.9,7.0,37,6.37,0.08,7.004
83.5,4.0,31,1.443,3.66,2.979
75.0,4.0,36,1.669,0.63,3.138
50.2,3.0,0,3.831,10.86,3.28
134.9,7.0,43,2.331,2.89,5.512
43.6,1.0,76,3.121,1.68,2.285
157.1,7.0,12,2.584,5.27,6.455
93.2,4.0,12,2.549,12.58,3.465
137.1,6.0,70,2.37,0.28,6.446
120.3,6.0,45,2.947,3.28,5.07
188.9,9.0,23,3.628,7.04,8.009
119.1,6.0,70,5.621,3.15,6.644
155.0,7.0,29,2.482,16.48,5.284
86.5,4.0,54,2.277,8.77,3.416
60.5,3.0,50,2.149,33.58,0.752
144.4,5.0,15,5.267,4.09,7.094
60.0,4.0,67,3.709,19.07,2.571
134.3,6.0,55,1.157,2.17,4.872
72.1,4.0,18,1.134,13.83,1.848
115.0,6.0,68,1.871,1.79,5.285
190.2,8.0,55,3.015,17.22,6.974
130.7,5.0,76,2.678,4.55,4.594
97.6,6.0,73,3.427,4.28,4.494
121.2,6.0,28,2.512,3.74,4.601
87.5,4.0,84,5.098,8.69,4.81
217.0,9.0,3,3.848,5.28,8.986
81.4,4.0,30,2.815,26.51,2.481
101.2,5.0,54,4.551,5.9,4.818
126.7,5.0,48,1.294,29.32,2.922
118.2,7.0,20,2.616,4.42,5.494
122.8,6.0,17,2.892,1.88,5.893
88.1,4.0,70,3.564,9.03,4.203
96.3,4.0,78,1.256,4.11,2.831
142.1,7.0,61,2.418,5.92,5.527
139.6,7.0,47,3.255,5.43,6.069
119.2,4.0,69,3.369,18.08,3.954
161.8,7.0,21,4.636,7.12,6.689
144.1,9.0,87,3.829,2.14,6.199
138.2,6.0,11,2.645,5.82,6.187
59.6,2.0,52,3.683,6.78,2.653
118.7,5.0,30,2.483,6.5,4.785
111.5,6.0,81,2.904,11.77,4.286
169.2,8.0,22,3.887,0.12,7.637
38.2,3.0,57,2.663,0.24,2.351
99.3,5.0,14,3.199,9.0,4.698
108.4,6.0,16,4.19,0.22,5.793
71.8,3.0,37,3.745,28.3,2.134
76.3,4.0,71,4.735,13.54,3.822
169.4,8.0,25,7.751,15.16,8.074
122.6,7.0,62,3.73,0.5,6.085
190.3,9.0,51,2.209,10.35,6.721
98.6,4.0,88,3.422,4.34,4.149
63.9,3.0,27,3.357,5.95,3.503
93.9,3.0,21,3.583,13.87,3.732
88.6,2.0,81,5.327,8.11,4.362
132.3,7.0,29,1.274,0.46,5.647
130.5,6.0,19,5.372,26.01,5.074
124.7,5.0,73,6.251,23.53,5.623
212.1,9.0,73,3.51,0.23,9.048
158.4,8.0,5,3.548,9.64,7.12
78.1,4.0,77,2.438,9.46,3.805
145.7,8.0,56,2.726,1.14,6.042
106.0,5.0,25,3.721,9.28,4.494
97.7,5.0,48,3.615,2.18,5.122
165.5,8.0,21,3.76,5.81,7.513
76.4,3.0,15,3.604,0.13,3.93
142.3,7.0,11,4.073,8.6,6.552
134.5,4.0,14,3.873,14.54,6.283
76.0,3.0,52,1.714,4.73,2.955
59.0,3.0,72,3.953,1.69,3.841
102.1,4.0,43,6.274,0.79,6.697
37.1,1.0,1,2.686,0.79,3.267
151.6,8.0,38,5.338,5.38,7.522
118.5,6.0,67,1.799,22.29,3.919
167.4,7.0,75,2.682,16.52,5.502
115.8,5.0,65,2.037,13.93,3.903
171.5,7.0,33,5.056,11.75,7.266
85.5,4.0,58,5.687,2.5,4.563
124.5,5.0,6,2.6,1.28,4.844
91.7,3.0,36,4.604,0.09,5.183
101.0,5.0,48,5.713,9.17,5.616
108.3,5.0,2,2.678,16.89,3.668
118.4,6.0,1,2.882,21.29,4.833
81.7,4.0,72,3.782,19.86,2.763
122.5,5.0,19,1.861,9.08,4.581
106.4,6.0,11,2.856,5.54,4.677
65.1,3.0,53,7.13,1.09,5.281
56.2,3.0,25,2.171,14.09,2.392
151.8,7.0,88,3.992,13.27,6.308
47.1,3.0,85,3.441,22.36,1.889
99.3,3.0,74,2.525,15.73,3.439
62.9,3.0,27,3.003,10.8,2.396
181.6,7.0,78,5.982,2.43,8.92
126.7,5.0,22,3.487,2.14,5.384
117.3,6.0,21,3.741,5.42,5.477
79.2,3.0,87,5.587,23.18,3.39
64.8,3.0,60,2.386,0.34,3.24
111.5,6.0,7,1.697,3.55,4.419
104.2,5.0,79,6.024,12.32,5.326
72.2,4.0,14,2.891,15.67,3.517
71.4,4.0,61,4.064,3.73,3.529
70.2,3.0,39,1.929,12.37,2.435
69.4,4.0,1,3.238,2.77,3.459
84.6,5.0,70,1.659,3.08,3.656
117.3,5.0,61,2.797,7.81,4.412
124.1,5.0,79,2.031,10.3,4.316
103.5,4.0,55,1.831,19.3,2.567
109.8,6.0,68,2.372,28.66,3.542
126.1,7.0,81,0.968,2.38,4.618
51.8,2.0,87,1.613,3.35,2.018
112.7,4.0,50,3.865,2.59,5.536
161.0,7.0,1,3.179,2.3,6.52
98.4,5.0,31,1.676,22.87,2.596
149.6,7.0,55,3.478,1.94,6.617
99.1,5.0,9,1.831,3.67,3.523
129.0,5.0,10,3.762,1.75,5.439
116.5,6.0,35,2.58,9.5,4.38
69.8,3.0,81,2.348,12.78,2.021
75.1,4.0,28,2.609,10.57,3.042
171.5,8.0,84,8.6,0.44,9.794
138.7,7.0,72,1.932,9.54,5.271
101.3,5.0,27,3.01,8.91,4.985
96.8,4.0,20,3.864,3.18,4.845
79.4,4.0,74,1.763,18.86,2.282
119.9,6.0,68,1.327,23.27,3.238
81.7,5.0,56,2.074,20.97,2.614
92.6,5.0,88,3.826,4.75,4.602
84.5,3.0,9,2.331,20.46,3.002
135.6,6.0,34,2.45,10.5,5.447
99.9,4.0,54,4.095,6.72,4.882
110.1,5.0,6,1.891,0.17,5.248
70.3,3.0,87,2.612,3.2,3.113
84.3,3.0,51,1.375,12.36,2.348
110.9,4.0,27,3.14,5.04,4.653
60.0,1.0,21,3.014,3.86,2.923
97.4,2.0,0,3.888,1.95,4.415
104.5,5.0,53,1.624,10.04,3.438
67.4,5.0,87,2.493,6.98,2.579
147.3,8.0,3,1.529,10.87,5.523
118.0,5.0,37,2.433,13.0,4.43
99.7,5.0,59,5.295,4.44,4.851
82.3,3.0,38,2.353,6.14,3.138
59.3,2.0,58,1.47,1.09,3.021
143.3,6.0,64,2.002,8.84,5.354
89.7,4.0,86,1.317,2.23,3.446
63.9,3.0,54,1.517,2.08,2.388
81.5,4.0,63,3.676,6.1,4.063
122.2,6.0,27,1.418,12.27,4.175
113.8,5.0,13,3.128,3.8,4.863
72.3,3.0,8,2.75,9.46,2.994
152.2,6.0,9,2.14,3.36,5.846
63.7,2.0,74,3.011,10.16,2.079
163.3,6.0,3,1.783,6.19,5.575
112.2,6.0,43,3.968,0.36,5.607
92.0,4.0,55,1.985,3.81,3.389
96.3,3.0,60,2.284,21.11,2.665
107.8,5.0,5,2.165,13.88,3.395
125.5,5.0,77,3.707,6.16,5.634
56.0,4.0,39,3.473,2.24,4.162
80.6,3.0,1,0.835,12.41,2.766
106.7,5.0,11,3.048,9.0,4.983
154.3,8.0,77,1.24,10.17,5.447
152.2,6.0,84,2.331,1.24,6.017
175.4,8.0,67,2.589,7.04,6.726
149.6,7.0,30,2.32,18.16,4.842
78.7,4.0,85,3.405,5.03,3.972
104.4,5.0,24,3.759,2.48,5.399
149.9,6.0,21,1.919,13.45,5.027
144.7,7.0,68,1.888,2.76,5.778
97.9,4.0,29,2.675,3.09,4.077
124.3,6.0,46,1.357,11.11,3.987
89.6,5.0,59,2.193,6.08,3.945
62.1,3.0,14,4.986,2.01,4.44
100.8,5.0,83,1.38,3.47,3.624
98.8,5.0,14,2.333,10.81,3.787
88.2,4.0,89,2.082,12.39,3.024
125.6,7.0,24,6.702,2.67,6.726
96.8,4.0,37,2.134,1.18,3.861
119.6,6.0,22,2.19,1.5,4.674
134.8,7.0,48,1.709,3.9,5.231
221.9,9.0,0,2.73,3.46,9.139
101.4,4.0,15,3.07,7.61,4.554
155.0,7.0,46,1.825,4.7,5.667
113.3,5.0,62,4.242,2.33,5.271
115.5,4.0,86,3.071,20.8,3.47
101.9,5.0,75,3.988,2.29,5.713
109.9,6.0,82,2.345,3.55,4.556
97.1,3.0,71,3.033,2.6,4.269
145.4,7.0,69,2.47,1.83,5.189
81.6,2.0,31,5.238,1.91,4.394
61.9,3.0,81,2.864,0.21,3.153
87.2,5.0,86,2.729,0.71,3.883
84.1,4.0,46,2.212,2.67,3.702
87.2,4.0,10,2.155,1.27,3.991
100.1,5.0,3,3.025,3.13,4.973
87.3,3.0,44,3.931,16.92,2.902
99.6,5.0,57,1.998,0.74,3.827
87.4,4.0,49,2.878,1.84,4.055
120.5,7.0,80,2.953,34.2,3.185
221.1,9.0,48,3.194,10.84,8.2
112.5,5.0,59,1.261,15.97,3.386
88.6,3.0,68,1.793,0.57,3.257
46.1,1.0,80,1.47,0.51,1.88
192.7,9.0,54,2.759,15.63,7.138
114.6,5.0,50,1.812,0.23,4.663
99.3,4.0,6,2.174,13.58,3.85
46.9,2.0,57,1.588,0.01,1.372
101.0,4.0,16,2.267,10.28,3.645
109.6,5.0,33,1.639,7.51,4.355
87.5,3.0,47,3.823,15.63,3.277
65.6,3.0,7,3.372,1.53,3.376
64.2,3.0,62,2.908,0.62,3.266
193.8,8.0,25,2.373,2.49,7.587
108.5,5.0,46,1.087,4.6,3.698
87.5,4.0,31,2.212,0.07,4.617
106.3,4.0,31,1.93,8.76,3.99
103.9,5.0,35,3.038,10.29,4.011
63.2,4.0,4,3.593,4.99,3.174
142.0,8.0,17,3.146,4.57,6.436
98.4,4.0,70,4.799,3.25,4.792
109.0,4.0,10,2.105,5.3,5.094
169.4,7.0,44,2.066,0.22,6.813
66.2,4.0,12,4.336,12.19,3.835
80.2,3.0,48,2.929,2.87,3.808
116.7,5.0,57,2.432,20.57,4.126
141.0,8.0,42,6.24,0.39,6.969
84.8,4.0,69,3.525,8.44,3.406
86.4,4.0,23,2.495,9.44,3.897
129.5,6.0,50,1.996,1.4,5.744
214.4,9.0,24,4.938,29.0,7.466
107.5,6.0,45,2.984,16.05,3.51
80.1,3.0,5,2.748,8.14,3.552
72.6,4.0,24,3.685,21.46,3.101
100.0,4.0,63,4.039,7.32,4.657
138.8,6.0,70,3.481,11.75,5.443
250.0,9.0,24,4.046,2.0,9.536
94.4,4.0,23,3.33,0.76,4.541
107.6,5.0,26,3.489,18.03,4.133
181.6,7.0,25,1.956,3.76,6.651
116.0,5.0,89,6.139,9.61,5.24
112.7,5.0,58,1.56,1.06,4.593
168.6,8.0,34,3.124,3.24,7.398
108.5,5.0,41,1.49,9.78,3.495
74.5,3.0,45,2.601,6.42,3.135
156.1,7.0,49,2.102,1.15,6.03
59.9,3.0,34,2.89,5.51,2.819
146.7,8.0,87,3.17,9.52,6.04
104.7,4.0,26,1.768,5.93,4.138
94.7,4.0,38,2.683,4.17,4.502
93.9,3.0,0,5.089,18.13,4.748
99.8,3.0,44,1.506,0.06,3.793
90.1,4.0,76,1.851,10.8,4.06
121.8,6.0,89,4.004,2.39,6.219
91.2,5.0,42,2.815,4.5,3.934
53.2,3.0,12,2.91,31.35,1.381
105.0,6.0,64,4.306,0.86,4.805
52.2,2.0,57,1.902,41.7,0.2
104.7,5.0,86,2.152,3.66,4.733
89.5,3.0,45,2.036,0.87,4.704
142.8,7.0,0,2.324,1.69,6.027
96.0,4.0,81,4.967,4.52,5.118
135.5,7.0,60,1.264,0.04,5.444
130.2,5.0,72,1.588,10.11,5.017
131.4,6.0,10,1.47,7.09,4.514
173.7,8.0,41,5.108,2.93,9.059
97.2,5.0,41,2.062,0.36,4.146
107.1,4.0,24,2.347,6.18,3.872
120.7,6.0,76,1.314,1.62,4.421
108.2,6.0,16,2.416,13.02,3.924
96.1,4.0,6,4.015,13.03,4.51
76.7,4.0,21,3.046,18.43,2.384
105.4,3.0,89,2.589,0.25,4.366
62.0,3.0,10,1.344,5.87,2.664
51.0,1.0,52,2.345,15.93,2.062
71.0,3.0,16,2.904,13.35,3.17
130.9,5.0,35,1.74,4.12,5.419
113.5,5.0,49,3.65,0.84,5.19
131.3,7.0,1,4.048,3.03,6.554
82.6,2.0,21,2.143,8.22,2.325
148.0,6.0,52,3.768,10.31,5.988
64.2,3.0,1,2.587,3.87,3.35
71.9,4.0,44,4.555,8.08,4.191
147.1,7.0,54,6.789,18.95,6.403
110.7,4.0,19,1.662,2.28,4.2
131.6,6.0,14,3.843,0.9,6.2
113.7,6.0,44,4.89,7.55,5.552
86.5,4.0,64,1.756,1.47,3.774
69.1,2.0,1,2.098,2.01,3.057
55.0,2.0,30,2.088,2.44,2.598
187.3,8.0,89,2.561,8.27,6.709
59.2,2.0,30,2.316,4.06,3.066
166.6,6.0,29,2.486,23.64,5.7
108.7,4.0,66,3.963,1.11,5.085
114.9,6.0,43,1.158,6.1,5.147
112.3,5.0,35,1.754,5.31,4.032
125.9,6.0,70,3.675,8.85,5.692
80.0,4.0,2,3.486,3.08,3.923
48.9,4.0,64,1.688,9.84,2.131
85.9,4.0,34,3.497,0.73,4.693
122.2,6.0,79,4.939,1.49,5.85
72.1,3.0,65,2.659,9.2,2.862
149.3,7.0,84,1.727,3.76,6.188
100.4,5.0,11,4.03,3.66,4.878
69.9,3.0,17,5.902,0.95,5.129
110.4,5.0,81,1.824,6.21,4.153
121.5,6.0,35,2.767,1.52,5.365
124.5,5.0,73,4.44,7.36,4.994
37.6,2.0,61,2.863,5.34,2.382
36.0,2.0,44,1.238,1.37,1.623
147.1,6.0,4,3.319,10.6,6.361
62.7,4.0,6,1.75,1.7,3.103
147.2,7.0,64,1.534,3.06,5.529
152.0,7.0,8,1.249,15.61,5.124
69.1,2.0,0,4.644,7.36,3.617
73.6,3.0,19,1.867,9.07,3.333
133.9,6.0,82,3.158,4.13,5.452
91.4,5.0,56,3.527,22.24,3.243
160.1,8.0,64,2.924,19.87,6.081
176.1,9.0,58,3.106,4.33,7.356
69.9,2.0,50,3.227,1.92,3.391
79.5,4.0,23,2.893,2.62,4.061
108.4,6.0,38,1.931,5.66,4.569
48.5,2.0,49,1.855,3.84,2.062
55.5,3.0,88,2.593,1.14,3.094
76.5,4.0,80,2.568,7.22,2.732
198.3,9.0,66,3.298,4.26,8.086
114.1,5.0,73,4.463,17.54,4.966
83.7,3.0,72,3.173,3.46,4.022
73.4,5.0,60,1.887,7.55,2.174
68.9,4.0,74,1.019,9.26,2.109
85.7,4.0,6,1.923,13.84,2.639
84.1,4.0,1,1.484,16.32,3.138
96.8,4.0,39,1.957,1.67,3.873
123.5,6.0,4,3.031,19.2,5.033
101.9,5.0,30,2.823,8.31,3.882
136.7,7.0,17,6.273,5.36,7.512
94.5,4.0,86,3.378,8.01,4.014
181.1,7.0,58,6.418,1.26,9.822
135.6,6.0,3,3.75,4.7,6.593
113.0,4.0,56,4.431,5.21,5.717
123.7,5.0,65,2.313,0.75,5.756
86.5,4.0,29,1.676,5.62,3.476
96.3,5.0,79,2.221,3.29,3.941
95.1,6.0,87,2.704,0.86,4.314
80.4,2.0,88,2.049,0.84,3.288
65.1,5.0,8,1.732,1.74,2.226
126.0,6.0,40,3.279,0.36,5.795
144.3,7.0,69,1.729,5.31,5.433
119.8,4.0,39,1.363,0.68,4.436
101.8,5.0,43,1.641,1.17,3.613
211.1,9.0,29,2.446,1.51,8.255
83.4,4.0,37,1.74,14.61,2.203
114.3,4.0,62,2.453,16.91,4.371
151.7,7.0,2,3.562,4.36,6.634
71.2,4.0,71,3.52,6.41,2.809
129.4,6.0,65,2.019,10.98,4.518
185.6,9.0,12,1.512,19.19,6.441
104.6,6.0,69,2.098,5.02,4.288
110.8,5.0,46,3.651,3.1,4.878
83.5,5.0,28,4.056,3.34,4.381
123.2,6.0,40,3.186,8.3,5.091
79.8,4.0,46,4.668,13.4,3.832
102.5,5.0,18,5.919,22.03,4.505
62.5,3.0,54,2.187,11.28,2.304
41.8,1.0,56,5.307,5.5,2.742
89.0,4.0,33,2.418,11.02,3.778
88.6,3.0,41,4.301,7.75,4.699
91.6,5.0,55,3.739,0.96,4.402
134.1,7.0,45,1.117,31.41,3.051
145.8,7.0,39,1.76,2.45,5.554
116.0,5.0,86,1.569,3.87,4.198
130.8,5.0,79,1.219,5.32,4.528
80.6,3.0,34,4.038,10.16,4.01
74.2,5.0,64,6.896,1.65,5.729
124.0,5.0,72,2.421,1.34,5.586
70.9,2.0,9,3.992,3.76,3.922
68.3,4.0,53,5.302,15.0,3.348
253.3,9.0,71,2.985,1.12,9.108
106.9,6.0,5,2.687,3.59,5.475
88.6,5.0,30,2.434,1.74,4.307
85.2,5.0,71,3.462,6.54,4.111
63.1,3.0,84,4.029,19.8,2.699
115.1,4.0,89,3.346,3.93,4.904
94.4,4.0,54,3.295,4.4,4.467
144.3,7.0,3,2.656,3.81,5.993
125.4,6.0,2,1.327,2.87,5.268
93.4,4.0,73,4.071,8.33,4.137
52.1,2.0,66,1.525,4.06,1.666
107.0,4.0,17,3.592,4.26,4.392
103.8,6.0,11,3.819,17.16,4.395
48.9,4.0,13,1.627,38.7,0.749
120.4,5.0,78,2.068,23.07,3.286
70.1,3.0,68,7.062,1.58,4.792
147.0,6.0,85,2.623,5.75,5.724
101.6,5.0,10,1.57,1.93,3.972
84.5,5.0,62,3.898,2.92,5.006
112.2,4.0,83,1.92,16.46,3.765
109.8,5.0,47,1.145,13.85,2.946
108.4,5.0,69,3.435,4.18,4.81
140.0,7.0,54,1.8,3.51,5.16
114.5,6.0,0,3.141,3.95,4.925
82.0,5.0,38,1.886,7.35,3.295
95.4,4.0,23,3.737,4.39,4.954
165.5,8.0,7,2.952,0.86,7.144
79.6,4.0,53,0.848,7.56,2.402
119.7,5.0,83,3.228,1.5,4.45
141.9,7.0,4,2.386,8.6,5.405
123.7,6.0,29,5.142,3.56,6.609
107.3,5.0,60,3.247,19.91,3.375
112.9,5.0,28,3.82,6.97,5.625
126.4,5.0,10,1.974,17.36,3.995
79.3,3.0,17,1.905,0.94,3.539
104.0,4.0,2,2.687,1.96,4.544
210.6,9.0,89,2.311,4.74,7.387
121.0,6.0,44,4.963,11.14,5.893
108.5,6.0,84,2.537,6.52,4.182
92.2,4.0,61,1.566,6.36,3.034
79.5,3.0,31,1.873,6.75,2.229
114.2,6.0,84,4.197,10.2,5.542
116.9,5.0,23,2.521,1.21,5.079
101.7,5.0,16,2.461,0.65,5.042
242.7,9.0,72,4.38,9.63,9.684
81.8,5.0,49,1.801,1.27,3.98
75.6,4.0,38,0.994,1.61,2.749
92.6,5.0,52,1.852,11.62,2.827
102.8,5.0,87,3.031,4.9,4.671
78.2,3.0,25,2.43,13.22,2.952
113.3,6.0,81,1.347,5.31,3.918
117.4,6.0,81,4.294,4.61,5.835
131.6,6.0,68,2.926,1.02,5.758
87.7,5.0,14,3.238,0.82,4.807
160.4,7.0,8,3.283,11.39,6.057
128.5,7.0,10,1.515,1.46,5.591
81.3,5.0,63,3.115,3.27,3.99
78.1,3.0,35,4.089,5.82,4.433
94.7,5.0,88,4.541,8.36,4.971
117.5,6.0,0,3.761,11.56,5.485
123.4,7.0,33,3.424,1.5,5.821
128.4,5.0,23,1.244,15.04,4.266
205.5,9.0,79,2.7,2.5,8.382
54.3,2.0,10,1.767,27.21,1.205
56.8,2.0,36,4.84,0.79,4.0
100.7,4.0,78,4.521,1.06,5.41
198.9,9.0,87,1.772,2.1,7.187
133.7,5.0,82,2.663,1.29,5.933
74.1,4.0,58,3.04,0.7,3.208
111.3,6.0,14,4.077,36.5,3.661
98.7,5.0,8,1.279,2.07,3.839
97.5,4.0,36,1.006,0.52,3.46
87.2,4.0,43,2.765,1.26,4.198
108.3,5.0,46,0.87,14.96,2.765
149.7,7.0,4,2.919,0.18,7.372
89.7,5.0,60,3.548,18.19,3.084
128.7,6.0,35,4.741,1.78,6.136
136.5,5.0,9,2.054,2.97,5.038
160.0,7.0,82,2.923,29.17,4.945
77.7,4.0,32,3.644,8.42,4.172
105.4,6.0,20,1.601,15.46,3.779
83.9,5.0,44,4.104,4.49,5.032
108.4,6.0,85,3.075,0.13,4.717
108.1,5.0,74,2.07,3.0,4.529
71.5,4.0,8,2.897,2.56,3.636
110.5,4.0,61,2.553,6.04,4.418
209.4,9.0,59,3.861,4.31,8.992
123.5,5.0,79,2.311,8.51,3.927
66.8,3.0,86,3.011,2.46,3.925
76.1,6.0,67,2.056,4.99,3.31
103.6,5.0,58,1.782,8.46,3.209
76.7,3.0,31,2.936,4.21,3.362
156.9,7.0,80,1.816,3.55,5.867
64.3,3.0,84,3.897,11.85,2.754
123.8,5.0,89,3.548,7.84,4.368
60.1,4.0,85,1.926,10.57,2.21
103.1,5.0,57,2.993,8.52,4.047
73.1,4.0,86,1.923,0.77,3.376
131.5,6.0,70,1.321,4.01,4.363
147.5,6.0,21,2.078,4.61,6.511
117.4,6.0,2,2.657,6.06,5.247
149.9,7.0,88,3.437,18.1,5.515
45.2,1.0,38,2.907,3.81,2.623
110.0,7.0,78,4.09,4.22,4.778
123.2,6.0,25,1.748,2.39,4.786
128.6,6.0,32,2.294,16.17,5.138
54.6,3.0,74,5.697,19.44,2.989
120.8,6.0,47,1.14,12.15,3.917
129.6,6.0,60,2.218,4.32,4.943
109.6,5.0,28,1.678,11.2,4.372
67.0,2.0,55,2.489,3.53,2.854
86.9,4.0,43,2.236,13.63,2.666
157.2,8.0,83,3.564,10.99,7.19
150.9,6.0,44,3.05,14.67,5.081
122.4,5.0,7,1.511,1.67,4.791
132.4,7.0,66,2.086,3.47,4.985
144.6,6.0,85,2.718,10.07,5.091
122.0,5.0,79,3.791,16.51,4.287
155.6,7.0,9,8.124,19.83,7.749
153.8,7.0,89,3.729,6.05,6.756
233.9,9.0,31,1.724,3.4,7.879
88.1,4.0,75,2.606,3.66,4.218
88.7,4.0,56,2.949,12.76,3.858
39.6,2.0,87,2.152,0.42,2.201
118.9,6.0,30,3.359,0.93,5.666
194.5,9.0,54,0.978,0.2,7.225
159.9,8.0,61,3.487,9.93,6.985
138.1,7.0,13,2.194,0.43,5.28
163.8,7.0,69,2.587,1.09,6.832
124.0,5.0,12,5.257,11.07,5.711
95.1,4.0,74,1.541,0.36,3.999
212.3,9.0,11,3.073,2.2,8.443
120.9,6.0,16,3.886,2.16,6.149
152.6,7.0,44,2.935,31.13,4.152
45.1,2.0,16,1.315,2.01,1.409
47.8,3.0,6,4.991,2.16,3.848
111.2,6.0,4,2.472,0.3,5.636
76.7,4.0,25,2.144,9.66,3.253
114.7,5.0,44,2.364,13.81,4.284
88.6,3.0,3,2.289,4.86,4.046
247.1,9.0,12,1.591,3.08,8.836
148.3,6.0,55,2.928,1.25,6.404
169.5,8.0,28,2.078,0.97,6.608
50.7,3.0,68,3.676,2.93,2.978
137.4,5.0,75,3.431,19.11,4.753
98.9,4.0,2,5.649,0.36,5.768
170.7,8.0,85,2.471,25.41,5.306
130.5,5.0,61,1.894,0.53,5.001
103.7,5.0,73,1.403,37.48,1.553
69.3,3.0,43,7.294,0.47,5.472
110.5,5.0,0,3.662,2.33,5.476
155.9,7.0,79,1.991,9.15,5.163
174.3,8.0,51,5.824,4.99,8.452
93.0,4.0,3,5.004,3.58,5.123
231.2,9.0,14,1.48,52.34,5.556
151.6,7.0,18,1.937,26.07,4.389
77.2,3.0,33,2.561,6.75,3.659
71.4,2.0,39,1.679,2.37,3.176
101.0,4.0,38,2.603,7.84,3.691
93.0,4.0,78,3.745,1.81,4.717
124.3,5.0,84,1.465,3.33,4.959
106.5,5.0,61,3.101,6.41,4.231
95.6,6.0,57,4.599,6.5,4.735
61.2,2.0,77,3.255,4.87,3.197
131.8,6.0,24,2.627,21.07,4.04
59.5,4.0,50,2.012,2.01,2.578
151.7,7.0,57,3.951,7.19,6.156
52.4,2.0,25,1.601,4.87,2.403
58.4,3.0,85,3.032,3.79,2.668
77.1,4.0,21,2.75,0.2,3.835
90.2,5.0,5,4.511,5.27,4.737
84.0,3.0,29,2.091,5.43,3.781
90.0,4.0,73,2.173,27.45,1.92
115.4,4.0,33,1.555,8.14,3.529
77.7,4.0,19,3.309,3.32,3.518
115.8,4.0,78,2.246,8.13,4.408
45.3,2.0,13,1.844,0.48,2.617
76.7,3.0,14,1.925,3.12,3.722
57.5,3.0,80,3.461,2.85,2.712
151.1,7.0,28,1.655,6.3,5.547
81.1,4.0,0,1.722,12.93,3.761
129.0,5.0,39,4.069,10.55,5.405
54.4,3.0,66,2.522,4.81,2.376
173.2,7.0,68,4.178,7.69,7.176
108.7,5.0,7,2.312,1.39,4.974
204.6,9.0,25,2.717,1.86,8.409
104.4,5.0,55,2.916,7.71,4.147
61.4,3.0,59,5.075,1.07,3.981
73.6,6.0,55,4.892,2.23,4.671
96.6,4.0,30,4.567,5.91,4.704
74.5,4.0,77,2.048,3.12,2.71
145.7,6.0,7,1.744,2.1,6.355
107.5,5.0,74,3.828,3.84,4.879
74.8,2.0,84,5.051,3.55,4.085
137.7,6.0,61,4.587,1.46,6.473
92.3,4.0,38,2.734,0.76,4.253
135.5,6.0,34,3.772,12.29,5.762
87.3,5.0,39,3.802,21.24,3.336
125.8,5.0,14,2.907,18.34,4.925
91.2,4.0,19,2.964,1.2,4.61
145.8,7.0,57,2.841,15.4,5.272
54.7,1.0,49,1.907,0.61,2.154
67.5,3.0,44,1.996,2.07,3.362
99.6,5.0,42,1.982,4.87,3.963
82.3,4.0,7,1.324,9.06,2.538
90.2,5.0,78,2.899,1.02,4.595
130.9,6.0,86,2.669,7.88,4.777
89.6,4.0,22,3.83,11.29,4.429
117.2,5.0,28,4.794,0.13,5.275
76.5,4.0,56,4.933,4.62,4.366
51.1,2.0,0,5.146,9.2,3.944
135.2,6.0,9,1.933,1.6,5.516
187.8,8.0,81,1.427,33.41,5.116
113.0,6.0,15,4.132,0.85,5.543
101.5,4.0,51,5.063,0.38,5.698
108.9,4.0,79,5.475,25.57,4.361
164.3,8.0,65,3.381,1.35,7.155
113.5,3.0,24,1.107,17.62,3.823
137.6,6.0,13,3.204,6.21,6.321
135.4,5.0,64,3.49,4.06,6.01
150.2,8.0,36,4.775,27.54,6.1
100.7,4.0,87,5.172,16.16,4.193
86.9,4.0,58,4.093,9.43,3.966
126.3,6.0,0,2.087,3.41,4.708
146.3,6.0,22,1.711,20.09,4.143
156.3,7.0,67,3.457,0.07,6.502
171.7,8.0,63,1.903,4.69,6.425
141.6,6.0,66,5.279,3.6,6.435
85.3,4.0,21,1.262,0.04,3.506
113.0,4.0,22,3.508,14.78,4.419
109.5,4.0,18,3.139,0.78,4.661
105.4,5.0,62,2.477,3.7,4.94
126.4,6.0,1,1.793,3.27,4.655
97.5,3.0,73,1.075,9.91,3.274
97.6,5.0,25,2.14,3.89,3.369
192.1,9.0,43,2.157,2.62,7.435
